3584,38
0,4,48,0
1,10,79,0
2,71,32,0
3,58,30,0
4,75,95,0
5,7,12,0
6,80,47,0
7,41,8,0
8,3,98,0
9,7,37,0
10,39,1,0
11,0,98,0
12,94,35,0
13,76,18,0
14,99,57,0
15,85,23,0
16,3,31,0
17,33,35,0
18,39,40,0
19,6,86,0
20,2,19,0
21,15,57,0
22,14,41,0
23,63,15,0
24,44,40,0
25,40,68,0
26,72,67,0
27,87,14,0
28,34,19,0
29,22,6,0
30,65,68,0
31,62,90,0
32,42,86,0
33,39,42,0
34,63,12,0
35,66,97,0
36,84,37,0
37,89,39,0
38,38,37,0
39,29,75,0
40,25,16,0
41,81,28,0
42,22,62,0
43,7,57,0
44,70,19,0
45,58,3,0
46,6,18,0
47,4,5,0
48,13,5,0
49,7,84,0
50,2,88,0
51,14,90,0
52,29,48,0
53,28,96,0
54,33,57,0
55,19,75,0
56,44,55,0
57,3,63,0
58,68,79,0
59,34,34,0
60,15,90,0
61,39,65,0
62,46,30,0
63,50,31,0
64,59,98,0
65,18,67,0
66,22,49,0
67,90,83,0
68,16,62,0
69,56,72,0
70,15,34,0
71,12,33,0
72,13,10,0
73,66,72,0
74,32,43,0
75,62,3,0
76,21,20,0
77,7,64,0
78,27,93,0
79,56,10,0
80,12,63,0
81,8,80,0
82,32,94,0
83,35,42,0
84,36,3,0
85,32,7,0
86,41,46,0
87,42,19,0
88,24,57,0
89,26,80,0
90,27,2,0
91,70,93,0
92,15,58,0
93,66,0,0
94,18,80,0
95,7,28,0
96,80,73,0
97,95,27,0
98,86,77,0
99,54,86,0
100,7,32,1
101,39,57,1
102,85,18,1
103,68,90,1
104,94,39,1
105,25,6,1
106,81,32,1
107,7,48,1
108,25,19,1
109,81,37,1
110,27,86,1
111,36,7,1
112,58,10,1
113,7,63,1
114,6,88,1
115,72,72,1
116,22,57,1
117,70,95,1
118,28,94,1
119,68,72,1
120,18,62,1
121,27,6,1
122,10,80,1
123,58,31,1
124,7,18,1
125,7,31,1
126,7,41,1
127,7,5,1
128,7,33,1
129,3,88,1
130,15,62,1
131,34,35,1
132,65,72,1
133,70,18,1
134,13,6,1
135,19,80,1
136,46,31,1
137,27,80,1

3585,39
0,41,3,0
1,71,98,0
2,40,5,0
3,70,75,0
4,54,25,0
5,10,56,0
6,10,76,0
7,29,25,0
8,36,65,0
9,78,85,0
10,69,91,0
11,88,9,0
12,13,72,0
13,87,94,0
14,73,76,0
15,74,7,0
16,71,9,0
17,96,95,0
18,84,41,0
19,65,46,0
20,85,65,0
21,63,42,0
22,38,0,0
23,67,6,0
24,32,42,0
25,29,70,0
26,88,6,0
27,46,10,0
28,68,18,0
29,36,30,0
30,27,99,0
31,27,84,0
32,17,7,0
33,70,12,0
34,27,17,0
35,47,98,0
36,96,37,0
37,1,41,0
38,27,63,0
39,85,13,0
40,64,82,0
41,6,41,0
42,29,47,0
43,64,11,0
44,75,30,0
45,86,82,0
46,62,20,0
47,1,20,0
48,47,26,0
49,69,69,0
50,3,88,0
51,78,35,0
52,16,12,0
53,46,65,0
54,65,75,0
55,12,11,0
56,93,34,0
57,81,60,0
58,17,89,0
59,79,90,0
60,62,21,0
61,43,82,0
62,50,40,0
63,71,54,0
64,50,20,0
65,43,69,0
66,82,26,0
67,90,22,0
68,34,96,0
69,10,32,0
70,17,79,0
71,30,86,0
72,50,92,0
73,25,85,0
74,19,54,0
75,86,14,0
76,50,46,0
77,46,70,0
78,49,22,0
79,68,48,0
80,61,80,0
81,95,97,0
82,27,97,0
83,2,0,0
84,30,58,0
85,68,69,0
86,95,13,0
87,8,82,0
88,67,69,0
89,61,28,0
90,38,28,0
91,65,49,0
92,95,64,0
93,21,93,0
94,74,41,0
95,92,5,0
96,24,98,0
97,21,8,0
98,39,22,0
99,92,1,0
100,2,11,1
101,71,60,1
102,29,54,1
103,10,41,1
104,29,65,1
105,78,41,1
106,88,13,1
107,32,30,1
108,17,85,1
109,90,26,1
110,10,79,1
111,78,30,1
112,78,82,1
113,46,22,1
114,61,25,1
115,61,40,1
116,71,91,1
117,71,7,1
118,71,48,1
119,10,54,1
120,29,84,1
121,29,63,1
122,68,12,1
123,47,96,1
124,64,80,1
125,90,13,1
126,49,25,1
127,41,5,1
